"","Estimate","Std.Error","t.value","Pr(>|t|)","p.adj"
"ENSG00000000003",-0.0184266319230512,0.0268785891244336,-0.685550563600854,0.493282294710426,0.852266211144808
"ENSG00000000419",-0.055757065274223,0.0422242726325612,-1.32049794580063,0.187212117028304,0.713559994308251
"ENSG00000000457",0.0181892681656672,0.0165648883968402,1.09806161864253,0.272652872127113,0.751129721062618
"ENSG00000000460",0.00608017366193196,0.0200558036917426,0.303162802916509,0.761879192622278,0.943776493187666
"ENSG00000000938",-0.0651187423897925,0.0349775234639015,-1.86173107587214,0.0631684195689022,0.62409372945706
"ENSG00000000971",-0.131709237750894,0.0605648171302043,-2.17468233195093,0.0300747663728465,0.597765112146438
"ENSG00000001036",-0.0547380691014894,0.0267548701794143,-2.04591047291292,0.041235114266769,0.611228405614283
"ENSG00000001084",-0.0287101986270335,0.0214441546280052,-1.33883564659337,0.181171312915071,0.709757333401614
"ENSG00000001167",0.0182969462629697,0.015873421534323,1.15267815596066,0.249537841169059,0.740984691224417
"ENSG00000001460",0.0141096460094584,0.0225740615198343,0.625037988713783,0.532202554004379,0.868442108709165
"ENSG00000001461",-0.0247708492671328,0.0200186205362125,-1.23739041970069,0.216464492911576,0.725566324445645
"ENSG00000001497",0.0198417408912237,0.0258292458749503,0.768188935413971,0.442701083542399,0.836098996836706
"ENSG00000001561",-0.037373821651013,0.0340191393763171,-1.09861161499668,0.272413008934035,0.750736635763947
"ENSG00000001617",-0.0402058963822859,0.0263898944738227,-1.52353380655493,0.128193759543278,0.673620263446821
"ENSG00000001626",0.00635023008521045,0.021740890461135,0.292086936207255,0.770329108687688,0.946174364352475
"ENSG00000001629",-0.00770783616068403,0.0225630198196096,-0.341613676817547,0.732770714174288,0.935003435242169
"ENSG00000001630",-0.0755501367649138,0.054749017620461,-1.37993593398613,0.168161002994261,0.700934333417966
"ENSG00000001631",0.0169484709719774,0.0195225160821688,0.868149930093161,0.385686815040046,0.811330059539969
"ENSG00000002016",0.0568187347244484,0.0347010415785788,1.63737836502069,0.102117242863682,0.655334290747535
"ENSG00000002330",-0.070518274714761,0.0388093245256894,-1.81704462977917,0.0697484906466786,0.626235930327097
"ENSG00000002549",-0.0477973613192474,0.0435488462361408,-1.09755746593307,0.272872869334353,0.75132149638712
"ENSG00000002586",-0.0086472577972113,0.0499733159665985,-0.173037502714269,0.862684922635924,0.971676572928426
"ENSG00000002587",-0.00801760007184921,0.0218575964855485,-0.36681069106341,0.713899787176917,0.931108978766513
"ENSG00000002745",0.0076533067878176,0.0236980174144594,0.322951353016895,0.746853499768765,0.93916632236298
"ENSG00000002746",0.0225379208134413,0.0288066803018717,0.78238521680601,0.434321293992433,0.83256371598511
"ENSG00000002822",0.0188611082791566,0.0272084969305789,0.693206549677469,0.488469401174072,0.850351765751385
"ENSG00000002834",0.00575808379352604,0.0214595742879691,0.268322368200668,0.788550711827731,0.949130299202904
"ENSG00000002919",-0.0354303145353578,0.0288827117848602,-1.22669626035356,0.220455983684303,0.729157459201912
"ENSG00000002933",0.018302851045248,0.0317080160751054,0.577231038419271,0.564017042355369,0.878970171670779
"ENSG00000003056",-0.0378973103091767,0.0289138205487058,-1.31069881426904,0.190500665533081,0.715535818628532
"ENSG00000003096",0.00916922455878544,0.0329712703897914,0.278097399656897,0.781040976622942,0.947206623511971
"ENSG00000003137",-0.112928698593593,0.0434204262210311,-2.60081966995742,0.00954762128368001,0.578891296747693
"ENSG00000003147",0.00784845729703551,0.027990081539947,0.280401373101908,0.779273882386584,0.946860254961091
"ENSG00000003249",-0.0190493426461502,0.0413353067953077,-0.460849189785442,0.645087013348717,0.908508949479591
"ENSG00000003393",0.0283206491751685,0.015354380136442,1.84446711124159,0.0656468468693744,0.625549626684072
"ENSG00000003400",-0.0191090602108375,0.0254470357498691,-0.750934623532165,0.453009697151679,0.839709158973199
"ENSG00000003402",0.00162784959306392,0.0262507839973815,0.062011465761415,0.950575986133092,0.989460207362578
"ENSG00000003436",-0.0107993758542533,0.0291695612191286,-0.370227572952705,0.711353923393216,0.930480606073671
"ENSG00000003509",0.026455451356989,0.0176571699529073,1.49828378089735,0.134627047168204,0.677214227619226
"ENSG00000003756",0.0547866111422496,0.0184759669971082,2.96529059349503,0.00315375307200479,0.55487593791768
"ENSG00000003987",0.000194626726443038,0.0300876252670845,0.00646866360224038,0.994841109406835,0.999241291233725
"ENSG00000003989",0.019557650359811,0.0564486583909464,0.346467939492213,0.729122151907715,0.934084049216218
"ENSG00000004059",-0.036673657899841,0.0393168050451118,-0.932773094298022,0.351342009872576,0.794076804671002
"ENSG00000004139",0.00885609983006007,0.0273600476852024,0.323687295137642,0.746296506204902,0.938922619285268
